arterycode,direction,sideofint,centreline_id,artery_type,match_on_case,was_match_on_case
31502,Westbound,W,1192,2,10,6
31530,Eastbound,E,20040174,2,10,6
31530,Westbound,E,20040174,2,10,6
31530,Northbound,N,20062075,2,10,6
31530,Southbound,N,20062075,2,10,6
31530,Northbound,S,10340176,2,10,6
31530,Southbound,S,10340176,2,10,6
31530,Eastbound,W,30080481,2,10,6
31530,Westbound,W,30080481,2,10,6
31899,Eastbound,E,30040112,2,10,6
31899,Westbound,E,30040112,2,10,6
31899,Northbound,N,7963589,2,10,6
31899,Southbound,N,7963589,2,10,6
31899,Northbound,S,7963578,2,10,6
31899,Southbound,S,7963578,2,10,6
31899,Eastbound,W,1139760,2,10,6
31899,Westbound,W,1139760,2,10,6
32585,Northbound,N,914520,2,10,6
32585,Southbound,N,914520,2,10,6
32585,Northbound,S,914570,2,10,6
32585,Southbound,S,914570,2,10,6
32861,Eastbound,E,440668,2,10,6
32861,Westbound,E,440668,2,10,6
32861,Northbound,S,440703,2,10,6
32861,Southbound,S,440703,2,10,6
32861,Eastbound,W,30004707,2,10,6
32861,Westbound,W,30004707,2,10,6
33554,Eastbound,E,8947513,2,10,6
33554,Westbound,E,8947513,2,10,6
33554,Northbound,N,1138579,2,10,6
33554,Southbound,N,1138579,2,10,6
33554,Northbound,S,7324285,2,10,6
33554,Southbound,S,7324285,2,10,6
33755,Eastbound,E,14067926,2,10,6
33755,Westbound,E,14067926,2,10,6
33755,Northbound,N,20042497,2,10,6
33755,Southbound,N,20042497,2,10,6
33755,Northbound,S,8145,2,10,6
33755,Southbound,S,8145,2,10,6
33755,Eastbound,W,14068267,2,10,6
33755,Westbound,W,14068267,2,10,6
34793,Northbound,S,30090495,2,10,7
34793,Southbound,S,30090495,2,10,7
35068,Westbound,E,440858,2,10,6
35068,Northbound,N,3306871,2,10,6
35068,Eastbound,W,440930,2,10,6
35068,Westbound,W,440932,2,10,6
35962,Eastbound,E,209,2,10,6
35962,Westbound,E,209,2,10,6
35962,Northbound,N,210,2,10,6
35962,Southbound,N,210,2,10,6
35962,Northbound,S,237,2,10,6
35962,Southbound,S,237,2,10,6
35962,Eastbound,W,212,2,10,6
35962,Westbound,W,212,2,10,6
36205,Eastbound,E,106715,2,10,6
36205,Westbound,E,106715,2,10,6
36205,Northbound,N,106682,2,10,6
36205,Southbound,N,106682,2,10,6
36205,Northbound,S,2216265,2,10,6
