arterycode,centreline_id,direction,sideofint,match_on_case,artery_type
811,9666999,Southbound,N,3,1
812,913544,Northbound,S,1,1
813,913479,Southbound,N,1,1
814,909281,Northbound,S,1,1
815,909180,Southbound,N,1,1
816,8246672,Northbound,S,1,1
817,913996,Southbound,N,1,1
818,907455,Southbound,N,1,1
819,30058630,Northbound,S,2,1
820,5826158,Southbound,N,1,1
821,8676965,Northbound,S,1,1
822,30016130,Southbound,N,2,1
823,14646601,Northbound,S,1,1
824,3244804,Southbound,N,1,1
825,8680975,Northbound,S,1,1
826,1147201,Eastbound,W,1,1
827,8491741,Westbound,E,1,1
829,1146568,Westbound,E,1,1
831,2689028,Eastbound,W,1,1
832,12735111,Westbound,E,1,1
833,9212691,Westbound,E,1,1
834,30021784,Westbound,E,2,1
835,30065733,Eastbound,W,2,1
836,1147135,Westbound,E,1,1
837,13973014,Eastbound,W,1,1
838,30004074,Eastbound,W,2,1
839,13973014,Westbound,E,1,1
840,30004074,Westbound,W,2,1
842,30021754,Westbound,E,2,1
843,30018111,Eastbound,W,2,1
844,2790371,Westbound,E,1,1
845,30073994,Eastbound,E,2,1
846,30087988,Westbound,E,2,1
847,30002759,Eastbound,W,1,1
848,30002744,Westbound,E,1,1
849,30021327,Eastbound,W,2,1
850,1147466,Westbound,E,1,1
851,8492502,Eastbound,W,1,1
852,30016282,Westbound,E,2,1
853,13515818,Westbound,E,1,1
854,1145812,Eastbound,W,1,1
855,8396807,Westbound,E,1,1
856,1147026,Eastbound,W,1,1
857,1146926,Westbound,E,2,1
858,14255077,Eastbound,E,1,1
859,12347485,Westbound,E,2,1
860,1146181,Eastbound,W,1,1
861,20102845,Westbound,E,2,1
862,30082883,Eastbound,W,2,1
863,12347485,Eastbound,W,2,1
864,1147201,Westbound,E,1,1
865,14255077,Westbound,E,2,1
866,30006410,Eastbound,W,2,1
867,10250082,Westbound,E,1,1
868,20044187,Eastbound,E,2,1
869,1146460,Westbound,E,1,1
870,9722678,Eastbound,W,1,1
871,444568,Westbound,E,1,1
872,10223922,Eastbound,W,1,1
